link	name	budget	domestic_total_gross	domestic_lifetime_gross	release_date	runtime	distributor	genre	rating	awards
http://www.boxofficemojo.com/movies/?id=187.htm	187	N/A	5727130		30-Jul-97	1 hrs. 59 min.	Warner Bros.	Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1900.htm	1900	$9 million			7-Oct-77	4 hrs. 5 min.	Paramount	War Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1911.htm	1911	N/A	135739		7-Oct-11	N/A	Variance Films	Foreign	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1915.htm	1915	N/A	111682		17-Apr-15	1 hrs. 18 min.	Bloodvine Media	Drama	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1920london.htm	1920 London	N/A			6-May-16	2 hrs. 0 min.	Reliance Films	Horror	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1941.htm	1941	$35 million	31755742		14-Dec-79	1 hrs. 58 min.	Universal	Period Comedy	PG	Nominated for Three Oscars.
http://www.boxofficemojo.com/movies/?id=1969.htm	1969	N/A	5979011		18-Nov-88	1 hrs. 35 min.	Atlantic	Unknown	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1984.htm	1984	N/A	8430492		14-Dec-84	1 hrs. 53 min.	Samuel Goldwyn	Unknown	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1995bugsbunnyfilmfestival.htm	1995 Bugs Bunny Film Festival	N/A	19587		5-May-95	N/A	Warner Bros.	Animation	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1998bugsbunnyfilmfestival.htm	1998 Bugs Bunny Film Festival	N/A	413076		13-Feb-98	N/A	Warner Bros.	Animation	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=2autumns.htm	"2 Autumns, 3 Winters"	N/A	5819		6-Jun-14	1 hrs. 31 min.	Film Movement	Foreign	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=2daysinnewyork.htm	2 Days in New York	N/A	633210		10-Aug-12	1 hrs. 31 min.	Magnolia	Comedy	R	No Academy Awards Information
