key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,year_wiki,year_bom
b1913,w4353,o10583,bless the child,2000,65000000.0,40443010.0,-0.37779984615384615,2000,11-Aug-00
b1934,w4470,o20240,blood diamond,2006,100000000.0,171407179.0,0.71407179,2006,8-Dec-06
b1968,w4572,,blow ,2001,53000000.0,83282296.0,0.5713640754716981,[2001],6-Apr-01
b1979,w4596,o16209,blue crush,16-Aug,25000000.0,51843679.0,1.07374716,16-Aug,16-Aug-02
b1991,w4644,,blue streak ,1999,65000000.0,117758500.0,0.8116692307692308,"""[1999, 09, 17]""",17-Sep-99
b1993,w4649,,blue valentine ,2010,1000000.0,12355734.0,11.355734,"""[2010, 01, 24, 26th, Sundance, 2010, 12, 29, United States, 2011, 01, 14, United Kingdom]""",29-Dec-10
b1994,w4652,,blue velvet ,1986,6000000.0,8551228.0,0.4252046666666667,"""[1986, 09, 12, Toronto, 1986, 09, 19, United States]""",19-Sep-86
b2009,w4699,o21976,bobby jones: stroke of genius,2004,20000000.0,2707913.0,-0.86460435,2004,30-Apr-04
b2019,w4716,,body of evidence (1993 film),1993,30000000.0,13273595.0,-0.5575468333333333,"""[1993, 15]""",15-Jan-93
b2020,w4717,,body of lies ,2008,70000000.0,115097286.0,0.6442469428571429,"""[2008, 10, 10]""",10-Oct-08
b2025,w4738,,boiler room ,2000,7000000.0,28780255.0,3.111465,"""[2000, 02, 18]""",18-Feb-00
b2050,w4815,o5334,boo! a madea halloween,2016,20000000.0,74827344.0,2.7413672000000004,2016,21-Oct-16
b2053,w4829,o6377,boogie nights,1997,15000000.0,43101594.0,1.8734396,1997,10-Oct-97
b2057,w4843,o10586,book of shadows: blair witch 2,2000,15000000.0,47737094.0,2.182472933333333,2000,27-Oct-00
b2087,w4992,o5078,bottle rocket,1996,7000000.0,560069.0,-0.9199901428571428,1996,21-Feb-96
b2090,w5006,,bounce ,2000,35000000.0,53425292.0,0.5264369142857143,"""[2000, 11, 17]""",17-Nov-00
b2095,w5040,o2039,bowfinger,1999,55000000.0,98625775.0,0.7931959090909091,1999,13-Aug-99
b2096,w5044,o16211,bowling for columbine,2002,4000000.0,58008423.0,13.50210575,2002,11-Oct-02
